Tipo,Casa,Preço,Destaque,Link,Área (m²),Quartos,Banheiros,UF
Casa à venda,Casa Com Terreno 500 M² - Com 02 Casas  - Aceita Permuta Parcial - Vila Ré ,1500000,Sim,https://casa.mercadolivre.com.br/MLB-3912175549-casa-com-terreno-500-m-com-02-casas-aceita-permuta-parcial-vila-re-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,500.0,4,3, São Paulo
Casa à venda," Sobrado Novo 2 Dorms, Itaqua- Jd Itaqua",450000,Sim,https://casa.mercadolivre.com.br/MLB-3912604731-sobrado-novo-2-dorms-itaqua-jd-itaqua-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,72.0,2,3, São Paulo
Casa à venda,Casa De Praia Com Comercio Praia Da Jureia Iguape Litoral Sul,500000,Sim,https://casa.mercadolivre.com.br/MLB-5203960408-casa-de-praia-com-comercio-praia-da-jureia-iguape-litoral-sul-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,290.0,4,4, São Paulo
Casa à venda,Casa Residencial 3 Suítes E Home Office - Ibituruna - Montes Claros/mg,1300000,Sim,https://casa.mercadolivre.com.br/MLB-3928907079-casa-residencial-3-suites-e-home-office-ibituruna-montes-clarosmg-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,570.0,4,5, Minas Gerais
Casa à venda,Casa Em Três Marias -mg,250000,Sim,https://casa.mercadolivre.com.br/MLB-5219478880-casa-em-trs-marias-mg-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,500.0,4,2, Minas Gerais
Casa à venda,Linda Casa No Condomínio Marina Del Rey Guarujá,950000,Sim,https://casa.mercadolivre.com.br/MLB-5221648994-linda-casa-no-condominio-marina-del-rey-guaruja-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,90.0,3,3, São Paulo
Casa à venda,"Casa Duplex Em Unamar, Na Rua Do Supermercado Atacadão, 100m Da Praia.",252000,Sim,https://casa.mercadolivre.com.br/MLB-3930868029-casa-duplex-em-unamar-na-rua-do-supermercado-atacado-100m-da-praia-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,102.0,3,3, Rio De Janeiro
Casa à venda,"Sobrado Novo Itaqua, Próx. Ao Centro!",350000,Sim,https://casa.mercadolivre.com.br/MLB-3919913523-sobrado-novo-itaqua-prox-ao-centro-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,70.0,2,2, São Paulo
Casa à venda,"Casa Com 3 Quartos, 2 Banheiros E Sobra De Terreno Na Esquina Para Comércio No Jardim Batel Em Campo Mourão, Paraná",250000,Sim,https://casa.mercadolivre.com.br/MLB-5214471806-casa-com-3-quartos-2-banheiros-e-sobra-de-terreno-na-esquina-para-comercio-no-jardim-batel-em-campo-mouro-parana-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,94.0,3,2, Paraná
Casa à venda,Sobrado Novo Na Vila Ré ,680000,Sim,https://casa.mercadolivre.com.br/MLB-3914338685-sobrado-novo-na-vila-re-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,200.0,3,4, São Paulo
Casa à venda,Sobrado Em Condomínio Fechado Apenas 6 Casas,399000,Sim,https://casa.mercadolivre.com.br/MLB-3927690105-sobrado-em-condominio-fechado-apenas-6-casas-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,68.0,2,2, São Paulo
Casa à venda,"Casa A Venda No Riviera De Santa Cristina 3, Lazer Total A Beira Da Represa Jurumirim !",498000,Sim,https://casa.mercadolivre.com.br/MLB-5207736384-casa-a-venda-no-riviera-de-santa-cristina-3-lazer-total-a-beira-da-represa-jurumirim--_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,150.0,3,3, São Paulo
Casa à venda,2 Imóveis À Venda Em Campos Elíseos,120000,Sim,https://casa.mercadolivre.com.br/MLB-5180414452-2-imoveis-venda-em-campos-eliseos-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,720.0,6,2, Rio De Janeiro
Casa à venda,Casa Duplex Cabo Frio Ville Blanche - Excelente Oportunidade - Direto Com O Proprietário,395000,Sim,https://casa.mercadolivre.com.br/MLB-3911481423-casa-duplex-cabo-frio-ville-blanche-excelente-oportunidade-direto-com-o-proprietario-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,90.0,3,3, Rio De Janeiro
Casa à venda,Casa  Rio De Janeiro - Campo Grande,315000,Sim,https://casa.mercadolivre.com.br/MLB-5181070902-casa-rio-de-janeiro-campo-grande-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,250.0,3,2, Rio De Janeiro
Casa à venda,"Sobrado 3 Dorms, (3 Suites),5 Banheiros, Garagem 5 Carros, Cozinha,churrasqueira",800000,Sim,https://casa.mercadolivre.com.br/MLB-3931294871-sobrado-3-dorms-3-suites5-banheiros-garagem-5-carros-cozinhachurrasqueira-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,300.0,3,5, São Paulo
Casa à venda,"Casa Plana Com 04 Quartos, Piscina, Capela, Terreno Plano Com 1200 M2 Na Vila Suíça - Miguel Pereira",630000,Sim,https://casa.mercadolivre.com.br/MLB-3909741575-casa-plana-com-04-quartos-piscina-capela-terreno-plano-com-1200-m2-na-vila-suica-miguel-pereira-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,425.0,4,1, Rio De Janeiro
Casa à venda,Sobrado Magnífico Centro De Atibaia.,950000,Sim,https://casa.mercadolivre.com.br/MLB-3912430045-sobrado-magnifico-centro-de-atibaia-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,150.0,3,3, São Paulo
Casa à venda,Sobrado,700000,Sim,https://casa.mercadolivre.com.br/MLB-3923742773-sobrado-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,145.0,3,4, São Paulo
Casa à venda,Vende-se Ou Troca,250000,Sim,https://casa.mercadolivre.com.br/MLB-5183189564-vende-se-ou-troca-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,360.0,2,1, Minas Gerais
Casa à venda,Sobrado De 3 Quartos E 3 Banheiros,430000,Sim,https://casa.mercadolivre.com.br/MLB-5196914018-sobrado-de-3-quartos-e-3-banheiros-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,192.0,3,3, São Paulo
Casa à venda,Vendo Sobrado No Centro De Caraguatatuba,890000,Sim,https://casa.mercadolivre.com.br/MLB-5181251908-vendo-sobrado-no-centro-de-caraguatatuba-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,210.0,3,3, São Paulo
Casa à venda,Sobrado Á Venda No Bairro Tremembé Sp,650000,Sim,https://casa.mercadolivre.com.br/MLB-5200761182-sobrado-a-venda-no-bairro-tremembe-sp-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,114.0,3,3, São Paulo
Casa à venda,Sobrado Comercial E Residencial A Venda Em Valinhos,1250000,Sim,https://casa.mercadolivre.com.br/MLB-5202720172-sobrado-comercial-e-residencial-a-venda-em-valinhos-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,300.0,3,3, São Paulo
Casa à venda,Casa A Venda - 02 Casas - Terreno 500 M² - Creci 94.434 F- Aceita Permuta Parcial,1500000,Sim,https://casa.mercadolivre.com.br/MLB-3912201669-casa-a-venda-02-casas-terreno-500-m-creci-94434-f-aceita-permuta-parcial-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,250.0,3,2, São Paulo
Casa à venda,Oportunidade!!! Lindo Sobrado 150m2 Próx. Ao Shopping Penha 3 Dorms,580000,Sim,https://casa.mercadolivre.com.br/MLB-3910399645-oportunidade-lindo-sobrado-150m2-prox-ao-shopping-penha-3-dorms-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=cbe0b3be-9013-43e7-861e-36585afdce38,150.0,3,2, São Paulo
Casa à venda,Linda Cs Térrea 3suítes Proj Moderno Cond Gran Ville Itupeva,1215000,Sim,https://casa.mercadolivre.com.br/MLB-5191309640-linda-cs-terrea-3suites-proj-moderno-cond-gran-ville-itupeva-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=cfff7ec4-509d-43aa-bdd4-169bc78b37f9,155.0,3,4, São Paulo
Casa à venda,Junto Ao Centro. Finíssimo Acabamento.,879000,Sim,https://casa.mercadolivre.com.br/MLB-5221616418-junto-ao-centro-finissimo-acabamento-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=cfff7ec4-509d-43aa-bdd4-169bc78b37f9,182.0,3,4, Rio De Janeiro
Casa à venda,Ótimo Sobrado Próximo Ao Metrô Vila Guilhermina,540000,Sim,https://casa.mercadolivre.com.br/MLB-5218721190-otimo-sobrado-proximo-ao-metr-vila-guilhermina-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=cfff7ec4-509d-43aa-bdd4-169bc78b37f9,120.0,3,3, São Paulo
Casa à venda,Casa Camburi ,650000,Sim,https://casa.mercadolivre.com.br/MLB-3930186841-casa-camburi-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=cfff7ec4-509d-43aa-bdd4-169bc78b37f9,160.0,3,2, São Paulo
Casa à venda,"Vende-se Está Casa ,aceito Troca , Por Favor Olhar A Descriç",600000,Sim,https://casa.mercadolivre.com.br/MLB-5189804288-vende-se-esta-casa-aceito-troca-por-favor-olhar-a-descric-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=cfff7ec4-509d-43aa-bdd4-169bc78b37f9,180.0,4,4, São Paulo
Casa à venda,Apartamento Novo Térreo Multi-uso - Residencial Vila Flor Clube  Jundiaí ,399000,Sim,https://casa.mercadolivre.com.br/MLB-5180580562-apartamento-novo-terreo-multi-uso-residencial-vila-flor-clube-jundiai-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=cfff7ec4-509d-43aa-bdd4-169bc78b37f9,58.0,2,2, São Paulo
Casa à venda,Casa Condomínio Village Moutonnée Em Salto ,799900,Sim,https://casa.mercadolivre.com.br/MLB-5196126566-casa-condominio-village-moutonnee-em-salto-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=cfff7ec4-509d-43aa-bdd4-169bc78b37f9,105.0,3,2, São Paulo
Casa à venda,Viva Na Cidade Com Ares De Campo,1350000,Sim,https://casa.mercadolivre.com.br/MLB-5182361532-viva-na-cidade-com-ares-de-campo-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=cfff7ec4-509d-43aa-bdd4-169bc78b37f9,400.0,3,6, São Paulo
Casa à venda,Casa 3 Suites Area Churrasqueira Zona Sul,590000,Sim,https://casa.mercadolivre.com.br/MLB-3926360037-casa-3-suites-area-churrasqueira-zona-sul-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=cfff7ec4-509d-43aa-bdd4-169bc78b37f9,135.0,3,4, São Paulo
Casa à venda,Sobrado - São Paulo Zn - Residencial Ou Comercial,750000,Sim,https://casa.mercadolivre.com.br/MLB-3930879103-sobrado-so-paulo-zn-residencial-ou-comercial-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=cfff7ec4-509d-43aa-bdd4-169bc78b37f9,180.0,5,4, São Paulo
